Network Reference ID,Parent Network Reference ID,Substation Name,Substation Number,Asset Type,Latitude,Longitude,Bulk Supply Point Name,Primary Substation
314903,420014,Epwell 66/11kv,670090,Primary,52.07,-1.4747,Epwell 66 11 (T1),Epwell 66 11
315379,314761,Erdington 11kv,670136,Primary,52.5129,-1.8276,Erdington 132 11 (GT1A),Erdington 132 11
501511,314667,Erin Road 33 11kv S Stn,898500,Primary,53.2572,-1.3334,,
241,29,Ernesettle B & S,330038,Primary,50.423,-4.1884,ERNESETTLE 33kV,ERNESETTLE B&S 11kV
29,139,Ernesettle Bsp,330001,BSP,50.4227,-4.1882,Ernesettle 33 kV,ERNESETTLE 33KV
15077,119,Evercreech,161823,Primary,51.1469,-2.5101,RADSTOCK 33kV,EVERCREECH 11kV
314915,420014,Evesham 66/11kv,670097,Primary,52.1097,-1.9331,Evesham 66 11 (T1),Evesham 66 11
15116,78,Exebridge,210140,Primary,51.0144,-3.529,TAUNTON 33kV 'J' BAR,EXEBRIDGE 11kV
54,137,Exeter City Bsp,310001,BSP,50.712,-3.5285,Exeter City 33 kV,EXETER CITY 33KV
137,,Exeter Main  S.G.P.,306005,GSP,50.7675,-3.406,,
56,137,Exeter Main Bsp,310003,BSP,50.7664,-3.4061,Exeter Main 33 kV,EXETER MAIN 33KV
467150,65,Exeter Science Park,310060,Primary,50.7349,-3.4609,SOWTON 33kV,EXETER SCIENCE PARK 11kV
15185,54,Exminster,310030,Primary,50.6748,-3.4945,EXETER CITY 33kV,EXMINSTER 11kV
59,137,Exmouth Bsp,310004,BSP,50.631,-3.4009,Exmouth 33 kV,EXMOUTH 33KV
15193,59,Exmouth Works,310038,Primary,50.6228,-3.4066,EXMOUTH 33kV,EXMOUTH WORKS 11kV
315256,314705,Exton 33/11kv,910052,Primary,52.6859,-0.6526,Oakham,Exton
315137,314671,Eyam 33 11kv S Stn,890066,Primary,53.28,-1.6731,Goitside,Eyam
245426,245433,Fairwater,510121,Primary,51.4932,-3.2431,,FAIRWATER 11kV
15258,9,Falmouth Bickland Hl,417160,Primary,50.1573,-5.101,RAME 33kV,FALMOUTH BICKLAND HILL 11KV
15260,9,Falmouth Docks,417180,Primary,50.1513,-5.0572,RAME 33kV,FALMOUTH DOCKS 11KV
315352,314740,Farndon Road 33/11kv,920046,Primary,52.4709,-0.9335,Kettering,Farndon Road
315024,314612,Farnsfield 33 11kv S Stn,890056,Primary,53.1046,-1.0233,Annesley (1 & 2),Farnsfield
314541,,Feckenham 66/11kv,670003,GSP,52.2524,-1.9722,,
420014,314541,Feckenham 66/11kv,670003,BSP,52.2524,-1.9722,,
420023,420014,Feckenham 66/11kv,670003,Primary,52.2524,-1.9722,Feckenham 66 11 (T1),Feckenham 66 11
15057,128239,Feeder Rd 11kv,113373,Primary,51.4487,-2.5658,FEEDER ROAD 33kV 'K' BAR,FEEDER ROAD 'A' 11kV
128239,130,Feeder Road 33kv,113372,BSP,51.4493,-2.5668,Feeder Road 33 kV,FEEDER ROAD 33kV
15058,128239,Feeder Road B,113374,Primary,51.4485,-2.5667,FEEDER ROAD 33kV 'K' BAR,FEEDER ROAD 'B' 11kV
314945,314743,Fen Farm 33/11kv,940023,Primary,52.0342,-0.6772,Bletchley,Fen Farm
314956,314702,Fernwood 33/11kv,900011,Primary,53.0422,-0.7772,Hawton,Fernwood
315350,314740,Field Street 33/11kv,920045,Primary,52.4026,-0.7286,,
15055,98,Filton Dc,113369,Primary,51.5094,-2.573,LOCKLEAZE 33kV 'J' BAR,FILTON DC 11kV
245311,245312,Fishguard,600124,Primary,51.9776,-4.972,,FISHGUARD 11kV
315274,314698,Fiskerton 33 11kv S Stn,900035,Primary,53.2381,-0.4153,Lincoln 33,Fiskerton
15172,54,Folly Bridge,310016,Primary,50.7757,-3.6807,EXETER CITY 33kV,FOLLY BRIDGE 11kV
314717,314563,Forsbrook 132/33kv,680048,BSP,52.9798,-2.0437,Forsbrook 132 33 (GT1),
315202,314764,Four Ashes 33/11kv,670124,Primary,52.6762,-2.117,Bushbury 132 33,Four Ashes 33 11
15293,12904,Fowey,437570,Primary,50.3412,-4.6491,St AUSTELL  33kV,FOWEY 11KV BAR
315327,314743,Fox Milne 33/11kv,940043,Primary,52.0476,-0.7068,Bletchley,Fox Milne
15078,119,Foxhills,162344,Primary,51.2888,-2.4482,RADSTOCK 33kV,FOXHILLS 11kV
12901,5,Fraddon,437380,Primary,50.3748,-4.9365,FRADDON 33kV 'J' BAR,FRADDON 11KV
5,138,Fraddon Bsp,407380,BSP,50.3753,-4.937,Fraddon 33 kV,FRADDON J 33KV
15157,17,Fremington,260480,Primary,51.0666,-4.1461,EAST YELLAND 33kV,FREMINGTON 11kV
315284,314717,Froghall 33/11kv,850017,Primary,53.0223,-1.9638,Forsbrook 132 33,Froghall 33 11
245358,253508,Garngoch,520127,Primary,51.6615,-4.0194,,GARNGOCH 11kV
